"Probe1 Current (A)","Probe2 Current (A)","Floating Potential (V)","Density (m-3)","Ne/sqrt(Te)"
-1.886722E-06,-2.532322E-06,-1.6852783,8.410000E+10,1.694240E+11
-1.232144E-06,-1.726336E-06,-2.1407388,6.480000E+10,1.305430E+11
-6.781931E-07,-1.017626E-06,-2.4561058,4.400000E+10,8.853280E+10
-1.805876E-06,-2.580483E-06,-2.2808880,1.032000E+11,1.971170E+11
-8.976275E-07,-1.174061E-06,-1.1190729,2.650000E+10,6.806068E+10
-1.509377E-06,-2.006574E-06,-1.6877385,6.480000E+10,1.305430E+11
-3.741117E-07,-5.757345E-07,-2.4190610,2.330000E+10,5.626313E+10
-4.816551E-06,-7.154179E-06,-2.5245489,2.940000E+11,5.969000E+11
-2.190222E-06,-2.744292E-06,-0.7893503,7.180000E+10,1.370920E+11
-8.868120E-07,-1.372577E-06,-2.7136773,6.480000E+10,1.305430E+11
-9.610551E-07,-1.179134E-06,-0.4205067,2.330000E+10,5.626313E+10
-1.148179E-06,-1.918446E-06,-2.9934295,1.032000E+11,1.971170E+11
-1.239478E-06,-1.736348E-06,-2.1682674,6.790000E+10,1.301440E+11
-2.584740E-06,-3.360468E-06,-1.4437025,1.032000E+11,1.971170E+11
-7.523224E-07,-1.097096E-06,-2.2731866,4.400000E+10,8.853280E+10
-9.032887E-07,-1.179742E-06,-1.1034541,2.650000E+10,6.806068E+10
-8.450506E-07,-1.136825E-06,-1.5012355,3.090000E+10,7.328120E+10
-1.233908E-06,-1.594849E-06,-1.1108182,4.400000E+10,8.853280E+10
-7.600215E-07,-9.752543E-07,-0.9105420,2.160000E+10,5.378195E+10
-3.515924E-07,-6.036020E-07,-2.9201047,3.090000E+10,7.328120E+10
-6.116158E-07,-1.010741E-06,-2.9161176,5.270000E+10,1.060380E+11
-1.249902E-06,-1.503807E-06,-0.0090219,2.670000E+10,6.432335E+10
-8.911597E-07,-1.243834E-06,-1.9335444,4.400000E+10,8.853280E+10
-6.853023E-07,-9.017301E-07,-1.1543115,2.160000E+10,5.378195E+10
-1.472635E-06,-2.245436E-06,-2.6412691,1.032000E+11,1.971170E+11
-1.294951E-06,-1.553124E-06,-0.0740450,2.650000E+10,6.806068E+10
